DATENUM_EXCEL,MATLAB_DATENUM,TMPC
40194.81458,735616.8146,0.6
40194.85625,735616.8563,1.1
40194.89792,735616.8979,1.1
40194.93958,735616.9396,0.6
40194.98125,735616.9813,1.1
40195.02292,735617.0229,0
40195.06458,735617.0646,0
40195.10625,735617.1063,0
40195.14792,735617.1479,-0.6
40195.18958,735617.1896,-0.6
40195.23125,735617.2313,-1.1
40195.27292,735617.2729,-1.1
40195.31458,735617.3146,-1.7
40195.35625,735617.3563,-1.7
40195.39792,735617.3979,-2.8
40195.43958,735617.4396,-2.2
40195.48125,735617.4813,-2.8
40195.52292,735617.5229,-2.8
40195.56458,735617.5646,-3.3
40195.60625,735617.6063,-3.3
40195.64792,735617.6479,-3.3
40195.68958,735617.6896,-2.2
40195.73125,735617.7313,-2.2
40195.77292,735617.7729,-2.2
40195.81458,735617.8146,-2.2
40195.85625,735617.8563,-2.8
40195.89792,735617.8979,-2.8
40195.93958,735617.9396,-2.8
40195.98125,735617.9813,-2.8
40196.02292,735618.0229,-2.2
40196.06458,735618.0646,-2.8
40196.10625,735618.1063,-2.8
40196.14792,735618.1479,-2.8
40196.18958,735618.1896,-2.8
40196.23125,735618.2313,-2.8
40196.27292,735618.2729,-3.3
40196.31458,735618.3146,-2.8
40196.35625,735618.3563,-3.3
40196.39792,735618.3979,-3.9
40196.43958,735618.4396,-3.9
40196.48125,735618.4813,-3.9
40196.52292,735618.5229,-3.3
40196.56458,735618.5646,-2.8
40196.60625,735618.6063,-3.3
40196.64792,735618.6479,-2.8
40196.68958,735618.6896,-3.9
40196.73125,735618.7313,-4.4
40196.77292,735618.7729,-3.9
40196.81458,735618.8146,-3.3
40196.85625,735618.8563,-2.8
40196.89792,735618.8979,-3.9
40196.93958,735618.9396,-3.9
40196.98125,735618.9813,-3.9
40197.02292,735619.0229,-3.9
40197.06458,735619.0646,-3.3
40197.10625,735619.1063,-2.8
40197.14792,735619.1479,-2.2
40197.18958,735619.1896,-1.7
40197.23125,735619.2313,-1.7
40197.27292,735619.2729,-1.7
40197.31458,735619.3146,-1.7
40197.35625,735619.3563,-1.1
40197.39792,735619.3979,-1.1
40197.43958,735619.4396,-1.1
40197.48125,735619.4813,-1.1
40197.52292,735619.5229,0
40197.56458,735619.5646,0
40197.60625,735619.6063,0
40197.64792,735619.6479,0
40197.68958,735619.6896,-0.6
40197.73125,735619.7313,-0.6
40197.77292,735619.7729,-0.6
40197.81458,735619.8146,-0.6
40197.85625,735619.8563,0.6
40197.89792,735619.8979,0.6
40197.93958,735619.9396,-0.6
40197.98125,735619.9813,0
40198.02292,735620.0229,-0.6
40198.06458,735620.0646,-0.6
40198.10625,735620.1063,1.7
40198.14792,735620.1479,1.7
40198.18958,735620.1896,2.8
40198.23125,735620.2313,3.3
40198.27292,735620.2729,2.8
40198.31458,735620.3146,1.1
40198.35625,735620.3563,0.6
40198.39792,735620.3979,1.7
40198.43958,735620.4396,2.8
40198.48125,735620.4813,2.8
40198.52292,735620.5229,3.3
40198.56458,735620.5646,3.3
40198.60625,735620.6063,3.3
40198.64792,735620.6479,3.3
40198.68958,735620.6896,3.3
40198.73125,735620.7313,3.3
40198.77292,735620.7729,1.1
40198.81458,735620.8146,0
40198.85625,735620.8563,0
40198.89792,735620.8979,0.6
40198.93958,735620.9396,1.1
40198.98125,735620.9813,1.1
40199.02292,735621.0229,2.2
40199.06458,735621.0646,2.2
40199.10625,735621.1063,2.8
40199.14792,735621.1479,3.3
40199.18958,735621.1896,3.3
40199.23125,735621.2313,2.8
